MOF Name,Ref Code,Property,Value,Condition,Summary,Reference
{[Cd­(azbpy)­(mglu)]·5­(H2O)}(n3)<|>compound 3,TELTUC,Water Stability,Stable,,"1. ""The purity of the complexes was investigated by measuring solid state PXRD at room temperature, which gives good correspondence with the simulated PXRD patterns. The purity of the bulk samples was further confirmed by the results of elemental analysis and IR spectra as well, which were also found in accordance with the data obtained for the single crystals.""
2. ""All the compounds were found to be stable and retain their framework stability after different solvent (i.e., H2O and dry EtOH) sorption measurements (Figure S8).""",10.1021/acs.inorgchem.7b02435
Hg(BTZPX)<|>Hg­(BTZPX),IXIREO,Water Stability,Stable,,"Hg­(BTZPX) is insoluble in alcohols, DMSO, acetone, acetonitrile, DMF, and water. The CPs precipitate in good yields (with the exception of the Zn­(II) derivative) as air- and moisture-stable polycrystalline powders, insoluble in water and in several organic solvents, this occurrence suggesting their polymeric nature.",10.1021/acs.cgd.6b01056
Ag2(BTZPX)<|>Ag2(BTZPX),IXIROY,Water Stability,Stable,,"Ag2(BTZPX) is insoluble in water and several organic solvents, suggesting its polymeric nature. The CPs precipitate as air- and moisture-stable polycrystalline powders, insoluble in water and in several organic solvents.",10.1021/acs.cgd.6b01056
{Cu(azpy)(glut)2}<|>compound 1<|>1b,UZUNAF,Water Stability,Stable,,"The reversible nature of the framework is also justified by the IR spectra of 1, 1a, and 1b. When the dehydrated light green crystals of 1a were exposed to water vapor for seven days, the deep green color reappears, and structure determination of rehydrated compound 1b reveals that 1a returned to the virgin as-synthesized compound 1 with the formula of {Cu(azpy)(glut)2}(Figure n), suggesting complete reversibility of the framework. The bond lengths and angles of 1b are also comparable to that of 1(Table).",10.1021/cg2004672
{[Cu(azpy)(glut)]}<|>1a,UZUNAF01,Water Stability,Stable,,"The reversible nature of the framework is also justified by the IR spectra of 1, 1a, and 1b. The as-synthesized crystals of 1 were heated at around 150 °C under reduced pressure for 6 h to remove the guest water molecules, and the color of the crystals changed from deep green to light green. When the dehydrated light green crystals of 1a were exposed to water vapor for seven days, the deep green color reappears, and structure determination of rehydrated compound 1b reveals that 1a returned to the virgin as-synthesized compound 1 with the formula of {Cu(azpy)(glut)2}, suggesting complete reversibility of the framework. The bond lengths and angles of 1b are also comparable to that of 1 (Table).",10.1021/cg2004672
BUT-70<|>[In3(TTTA)2(OH)3(H2O)]·(DMA)3,VASGUU,Water Stability,Stable,,"To test the chemical stabilities of the three MOFs, their samples were treated in water. After being soaked in water at r.t. for 24 h, the measured PXRD patterns of BUT-70 and -70A show retained crystallinity with minor changes of the PXRD peaks, implying water stability of their robust frameworks.",10.1021/acs.inorgchem.6b02840
BUT-70B<|>[In3(TTTA)2(OH)3],VASGII,Water Stability,Stable,,"BUT-70B was further demonstrated to be stable in harsher conditions. Its samples were treated in boiling water for 24 h and 5 d, as well as in the dilute aqueous HCl solution (pH = 4) at r.t. for 24 h, respectively. The PXRD patterns of all these treated samples show again retained crystallinity and unchanged structure.",10.1021/acs.inorgchem.6b02840
[Ni(dipn)]2[Ni(dipn)(H2O)][Fe(CN)6]2·11H2O<|>1A<|>1B<|>1B'<|>1C,HIFTUM,Water Stability,Stable,,"Remarkably, the amorphous-like 1B recovered its crystallinity smoothly on being exposed to gaseous water (100% relative humidity, Figurea). The rehydrated form was denoted as 1B‘. TGA results indicated that 1B‘ contains 12 water molecules per formula unit, the same as 1A (Figure S6). On the other hand, 1C did not recover its crystallinity on being exposed to gaseous water or immersed in water, which suggests the residual lattice water forming bidirectional hydrogen bonds with cyano groups and the coordinated water of Ni(2) play a significant role in the structural recovery.",10.1021/ja069166b
Cd2(C2O4)2·6H2O<|>compound 1,SEYFAD01,Water Stability,Stable,,The crystals are insoluble in water and in common organic solvents.,10.1021/ic025598l
Zn2(adb)2(dabco)<|>DUT-30(Zn)<|>K,UDANAQ,Water Stability,Unstable,,"The stability against water was also examined. The analysis of a water treated sample () shows that ZnW2(adb)2(dabco) can include water molecules undergoing a structural change. The water molecules incorporated in the structure cannot be completely removed by activation at 150 °C and N2 adsorption measurement reveals the low porosity of such material (BET surface area of 40 m2g–1 (p/p0= 0.1–0.3)). Thermogravimetric analysis (Figure S8) shows that approximately 0.5 H2O molecule per Zn2(adb)2(dabco) was still enclosed after activation. Furthermore, the residual mass is 2.2% higher than expected, accordingly the sample already contains ZnO or Zn(OH)2. Hence, a slow decomposition is proceeding during hydration.",10.1021/ic200937u
"[Co­(1,4-phda)­(4,4′-bpa)­(H2O)2]<|>compound 3",NAPHIY,Water Stability,Unstable,,After immersion in water the PXRD showed a shift in the peaks. This indicates some changes to the crystals,10.1021/acs.cgd.6b01788
Ni-STA-12<|>St Andrews nanoporous material-12,QOVDEL,Water Stability,Stable,,"The rehydration has been found to be rapid and fully reversible. The structure of the spiral inorganic chains is shown in Figure, with NiO4N polyhedra in the chains exhibiting both corner-sharing and edge-sharing. Ni(1)O4N and Ni(2)O4N share an edge, whereas Ni(1)O4N and Ni(3)O4N share a corner: all PO3C tetrahedra remain corner-sharing. Two out of the three different phosphonate groups change their coordination, so that all three of their oxygen atoms as well as the piperazine nitrogen atom are bound to nickel cations. The third phosphonate group, P(3)O3C, remains in its original configuration, with a single P=O bond projecting into the pore space, accessible to adsorbates. The change in local symmetry of Ni(II) sites that occurs upon dehydration is readily observed by UV−visible spectroscopy (Figurea). As-prepared Ni-STA-12 (blue curve) is characterized by the presence of an intense component at about 250 nm, associated with the organic linker and by a complex set of bands in the region of metal d−d transitions (visible and near-infrared) that comprise a contribution at 420 nm, double peaks at 695 and 770 nm, a band at 1280 nm, and a further component at 1950 nm. For Ni(II) inOsymmetry, only three weak bands due to spin-allowed d−d transitions would be expected,hso the appearance of the fourth band in the near-infrared region must be explained by the presence of nitrogen inside the first coordination sphere of Ni(II) sites that disrupts their symmetry. Thermal treatmentin vacuoat 523 K produces major changes in the optical spectrum of the Ni-STA-12 (black curve), especially for the d−d bands (new maxima at 428, 518, 810, 1090, 1800, and 1955 nm), while the contribution due to the organic linker shows only a modest red shift. The number of bands and their broad character suggest that NiO4N polyhedra are intermediate between tetragonal pyramids and trigonal bipyramids. This indicates that the removal of water molecules directly coordinated to Ni(II) species causes a substantial modification of the electronic structure of the metal as a result of changes in symmetry and ligand field. These structural changes are fully reversible upon rehydration, as illustrated by the red curve reported in Figurea.",10.1021/ja804936z
Ni-STA-12 (hydrated form),QOVDAH,Water Stability,Stable,,"1. The rehydration has been found to be rapid and fully reversible. 2. The dehydration and rehydration behavior of Ni-STA-12 has been studied by both laboratory and synchrotron X-ray powder diffraction, and also by infrared spectroscopy. The rehydration has been found to be rapid and fully reversible.",10.1021/ja804936z
SUMOF-7I<|>SUMOF-7I(La),RUYQIN,Water Stability,Stable,,"SUMOF-7I, -7II, and -7III show exceptionally high chemical stability in water and DMF. All the activated SUMOF-7I, -7II, and -7III remained remarkably stable during treatment with hot solvents (DMF at 120 °C, H2O at 100 °C for 1–30 days), as indicated by PXRD (seeFigureandSupporting InformationSI-11). These MOFs are also stable in acidic or basic aqueous solutions with pH values ranging from 2 to 11 at room temperature (seeSupporting InformationSI-12). This exceptional resistance of the SUMOF-7I to -7III to hydrolysis is outstanding among the reported metal–organic frameworks.",10.1021/acs.chemmater.5b01711
SUMOF-7II<|>SUMOF-7II(La),RUYVEO,Water Stability,Stable,,"SUMOF-7I, -7II, and -7III show exceptionally high chemical stability in water and DMF. All the activated SUMOF-7I, -7II, and -7III remained remarkably stable during treatment with hot solvents (DMF at 120 °C, H2O at 100 °C for 1–30 days), as indicated by PXRD (seeFigureandSupporting InformationSI-11). These MOFs are also stable in acidic or basic aqueous solutions with pH values ranging from 2 to 11 at room temperature (seeSupporting InformationSI-12). This exceptional resistance of the SUMOF-7I to -7III to hydrolysis is outstanding among the reported metal–organic frameworks.",10.1021/acs.chemmater.5b01711
SUMOF-7III<|>SUMOF-7III(Eu),RUYVIS,Water Stability,Stable,,"SUMOF-7I, -7II, and -7III show exceptionally high chemical stability in water and DMF. All the activated SUMOF-7I, -7II, and -7III remained remarkably stable during treatment with hot solvents (DMF at 120 °C, H2O at 100 °C for 1–30 days), as indicated by PXRD. These MOFs are also stable in acidic or basic aqueous solutions with pH values ranging from 2 to 11 at room temperature. This exceptional resistance of the SUMOF-7I to -7III to hydrolysis is outstanding among the reported metal–organic frameworks.",10.1021/acs.chemmater.5b01711
SUMOF-7I(Ce),RUYVAK,Water Stability,Stable,,"SUMOF-7I, -7II, and -7III show exceptionally high chemical stability in water and DMF. All the activated SUMOF-7I, -7II, and -7III remained remarkably stable during treatment with hot solvents (DMF at 120 °C, H2O at 100 °C for 1–30 days), as indicated by PXRD (see Figure and Supporting Information SI-11). These MOFs are also stable in acidic or basic aqueous solutions with pH values ranging from 2 to 11 at room temperature (see Supporting Information SI-12). This exceptional resistance of the SUMOF-7I to -7III to hydrolysis is outstanding among the reported metal–organic frameworks.",10.1021/acs.chemmater.5b01711
DICRO-5-Co-i,TAQGOK,Water Stability,Unstable,,"The three compounds DICRO-4-Ni-i, DICRO-5-Co-i, and DICRO-5-Ni-i were found to exhibit poor stability toward humidity, with BET surface area % reductions at 14 days exposure equal to −69%, −80%, and −68%, respectively. The stability tests were conducted by exposing samples to 40 °C and 75% relative humidity.",10.1021/acs.cgd.6b01881
DICRO-6-Co-i,TAQGUQ,Water Stability,Stable,,"The enhanced stability with increased methylation is thought to be a result of two features: increase in hydrophobicity of the pore by introduction of nonpolar methyl groups and reduction in pore accessibility. Stability testing toward exposure to humidity, using a method adapted from use in the pharmaceutical industry, was performed on the five compounds DICRO-4-Ni-i, DICRO-5-Co-i, DICRO-5-Ni-i, DICRO-6-Co-i, and DICRO-6-Ni-i to serve as a complementary experiment in understanding how structure impacts upon stability.",10.1021/acs.cgd.6b01881
{Zn7(btc)4(dmtrz)2(H2O)5}<|>n1,OWAVIS,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg101569a
{[Zn6(btc)4(dmtrz)3]·3H3O·2H2O}<|>n2,OWAVOY,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg101569a
"Cu3(bipy)1.5(2,6-ndc)3<|>Framework 1<|>Compound 1",BUSQOW,Water Stability,Stable,,"Framework 1 does not adsorb water molecules up to P/P0 = 1 and type-II sorption profile suggest only surface adsorption (H2O, kinetic diameter = 2.68 Å). The exclusion of water molecules by 1 is also consistent with the nonexistence of guest water molecules in as-synthesized framework, suggesting hydrophobic nature of the framework.",10.1021/cm9025683
